left,right,metric,class_id,class_difference,full_point,leave_one_class_out_point,point_change,estimand
aligned_donor_source,aligned_isotropic_source,absolute_regret,345,-0.02206391458650319,-0.2101608653779622,-0.2227006620973929,-0.012539796719430701,descriptive_influence_only_no_class_removed_from_primary
aligned_donor_source,aligned_isotropic_source,absolute_regret,384,-0.0069236261942356575,-0.2101608653779622,-0.22371001465687737,-0.013549149278915179,descriptive_influence_only_no_class_removed_from_primary
aligned_donor_source,aligned_isotropic_source,absolute_regret,462,-0.05068280241524434,-0.2101608653779622,-0.22079273624214343,-0.010631870864181242,descriptive_influence_only_no_class_removed_from_primary
aligned_donor_source,aligned_isotropic_source,absolute_regret,511,-0.02352504799515641,-0.2101608653779622,-0.22260325320348262,-0.012442387825520429,descriptive_influence_only_no_class_removed_from_primary
aligned_donor_source,aligned_isotropic_source,absolute_regret,568,-0.022718113693867233,-0.2101608653779622,-0.2226570488235686,-0.012496183445606407,descriptive_influence_only_no_class_removed_from_primary
aligned_donor_source,aligned_isotropic_source,absolute_regret,679,-0.0977795510478251,-0.2101608653779622,-0.2176529529999714,-0.0074920876220092025,descriptive_influence_only_no_class_removed_from_primary
aligned_donor_source,aligned_isotropic_source,absolute_regret,712,-0.018454181187953656,-0.2101608653779622,-0.22294131099062947,-0.01278044561266728,descriptive_influence_only_no_class_removed_from_primary
aligned_donor_source,aligned_isotropic_source,absolute_regret,780,-0.09688615407033452,-0.2101608653779622,-0.2177125127984708,-0.007551647420508595,descriptive_influence_only_no_class_removed_from_primary
aligned_donor_source,aligned_isotropic_source,absolute_regret,870,0.10528812594202386,-0.2101608653779622,-0.23119079813262797,-0.021029932754665775,descriptive_influence_only_no_class_removed_from_primary
aligned_donor_source,aligned_isotropic_source,absolute_regret,888,-0.37935620791466984,-0.2101608653779622,-0.19888117587551507,0.011279689502447121,descriptive_influence_only_no_class_removed_from_primary
aligned_donor_source,aligned_isotropic_source,absolute_regret,975,-0.5216541769438344,-0.2101608653779622,-0.18939464460690408,0.020766220771058108,descriptive_influence_only_no_class_removed_from_primary
aligned_donor_source,aligned_isotropic_source,normalized_regret,19,0.013862100982881369,-0.03685916515811938,-0.040240582900852764,-0.0033814177427333864,descriptive_influence_only_no_class_removed_from_primary
aligned_donor_source,aligned_isotropic_source,normalized_regret,85,-0.013932387178024773,-0.03685916515811938,-0.03838761702345902,-0.0015284518653396403,descriptive_influence_only_no_class_removed_from_primary
