class_id,policy,metric,value
345,candidate_B,oracle_hit,0.8703703703703703
384,candidate_B,oracle_hit,0.9259259259259259
462,candidate_B,oracle_hit,0.9259259259259259
511,candidate_B,oracle_hit,0.9259259259259258
568,candidate_B,oracle_hit,0.9074074074074073
679,candidate_B,oracle_hit,0.8888888888888888
712,candidate_B,oracle_hit,0.9351851851851851
780,candidate_B,oracle_hit,0.9259259259259258
870,candidate_B,oracle_hit,0.8888888888888888
888,candidate_B,oracle_hit,0.8981481481481481
975,candidate_B,oracle_hit,0.925925925925926
19,stage_only,absolute_regret,0.032224733326023734
85,stage_only,absolute_regret,1.7309309071275338
131,stage_only,absolute_regret,0.02596272361704751
224,stage_only,absolute_regret,0.030808493973807003
301,stage_only,absolute_regret,0.2194922898975423
345,stage_only,absolute_regret,0.0050087767950848395
384,stage_only,absolute_regret,0.01030561750730878
462,stage_only,absolute_regret,0.10638013261059064
511,stage_only,absolute_regret,0.019165829123361927
568,stage_only,absolute_regret,0.03889913880839999
679,stage_only,absolute_regret,0.18090064822710258
712,stage_only,absolute_regret,0.03247500159300369
780,stage_only,absolute_regret,0.013370584650052163
870,stage_only,absolute_regret,0.013769151741063222
888,stage_only,absolute_regret,0.3277553013249376
975,stage_only,absolute_regret,0.20691570814267787
19,stage_only,normalized_regret,0.03830525760379667
85,stage_only,normalized_regret,0.04289072516333894
131,stage_only,normalized_regret,0.04481631434929116
224,stage_only,normalized_regret,0.04741315930333255
301,stage_only,normalized_regret,0.0390367271154256
345,stage_only,normalized_regret,0.029136729282599326
384,stage_only,normalized_regret,0.03912553373987087
462,stage_only,normalized_regret,0.05696426608851713
511,stage_only,normalized_regret,0.051207636363635414
568,stage_only,normalized_regret,0.04895768809007657
679,stage_only,normalized_regret,0.06485127901674753
712,stage_only,normalized_regret,0.04499153805257651
780,stage_only,normalized_regret,0.02690214343751285
870,stage_only,normalized_regret,0.04585550068952807
888,stage_only,normalized_regret,0.0631946418616232
975,stage_only,normalized_regret,0.029650028590517064
19,stage_only,oracle_hit,0.9166666666666666
85,stage_only,oracle_hit,0.9074074074074074
131,stage_only,oracle_hit,0.8888888888888888
224,stage_only,oracle_hit,0.9351851851851851
301,stage_only,oracle_hit,0.8981481481481481
345,stage_only,oracle_hit,0.8796296296296297
384,stage_only,oracle_hit,0.8888888888888888
462,stage_only,oracle_hit,0.9259259259259259
511,stage_only,oracle_hit,0.9166666666666666
568,stage_only,oracle_hit,0.888888888888889
679,stage_only,oracle_hit,0.9074074074074074
712,stage_only,oracle_hit,0.9259259259259259
780,stage_only,oracle_hit,0.8981481481481481
870,stage_only,oracle_hit,0.8981481481481481
888,stage_only,oracle_hit,0.888888888888889
975,stage_only,oracle_hit,0.9351851851851852
19,aligned_actual_source,absolute_regret,0.025881457585745407
85,aligned_actual_source,absolute_regret,1.7298820730436326
131,aligned_actual_source,absolute_regret,0.0243339829394436
224,aligned_actual_source,absolute_regret,0.03082105108436377
301,aligned_actual_source,absolute_regret,0.2410519472181289
345,aligned_actual_source,absolute_regret,0.0056616324883842824
384,aligned_actual_source,absolute_regret,0.000559507831088894
462,aligned_actual_source,absolute_regret,0.0984145470808711
511,aligned_actual_source,absolute_regret,0.018677493449035583
568,aligned_actual_source,absolute_regret,0.029984523887225473
679,aligned_actual_source,absolute_regret,0.18305654612914274
712,aligned_actual_source,absolute_regret,0.030832003514506184
780,aligned_actual_source,absolute_regret,0.01810339251683567
870,aligned_actual_source,absolute_regret,0.013625043624148165
888,aligned_actual_source,absolute_regret,0.32572263867350476
975,aligned_actual_source,absolute_regret,0.20711909933295328
19,aligned_actual_source,normalized_regret,0.034351488801935816
85,aligned_actual_source,normalized_regret,0.04142248564492647
131,aligned_actual_source,normalized_regret,0.051653958045515314
224,aligned_actual_source,normalized_regret,0.050397315918981084
301,aligned_actual_source,normalized_regret,0.06530384020399096
345,aligned_actual_source,normalized_regret,0.034391710470735026
384,aligned_actual_source,normalized_regret,0.02427683529475184
462,aligned_actual_source,normalized_regret,0.05026985239182222
511,aligned_actual_source,normalized_regret,0.05110937797905021
568,aligned_actual_source,normalized_regret,0.027965343272280344
679,aligned_actual_source,normalized_regret,0.07033178749690845
712,aligned_actual_source,normalized_regret,0.02937072201118787
780,aligned_actual_source,normalized_regret,0.029251790573996937
870,aligned_actual_source,normalized_regret,0.04569178330729348
888,aligned_actual_source,normalized_regret,0.05106068701099781
975,aligned_actual_source,normalized_regret,0.03331730987417729
19,aligned_actual_source,oracle_hit,0.9259259259259259
85,aligned_actual_source,oracle_hit,0.9166666666666666
131,aligned_actual_source,oracle_hit,0.8703703703703703
224,aligned_actual_source,oracle_hit,0.8981481481481483
301,aligned_actual_source,oracle_hit,0.8703703703703703
345,aligned_actual_source,oracle_hit,0.8703703703703703
384,aligned_actual_source,oracle_hit,0.9259259259259259
462,aligned_actual_source,oracle_hit,0.9259259259259259
511,aligned_actual_source,oracle_hit,0.9259259259259258
568,aligned_actual_source,oracle_hit,0.9074074074074073
679,aligned_actual_source,oracle_hit,0.8888888888888888
712,aligned_actual_source,oracle_hit,0.9351851851851851
780,aligned_actual_source,oracle_hit,0.9259259259259258
870,aligned_actual_source,oracle_hit,0.8888888888888888
888,aligned_actual_source,oracle_hit,0.8981481481481481
975,aligned_actual_source,oracle_hit,0.925925925925926
19,aligned_donor_source,absolute_regret,0.08121496160619064
85,aligned_donor_source,absolute_regret,0.007521385979133193
131,aligned_donor_source,absolute_regret,0.0337254637010913
224,aligned_donor_source,absolute_regret,0.03247108850091354
301,aligned_donor_source,absolute_regret,0.04966988532949128
345,aligned_donor_source,absolute_regret,0.011089694800551476
384,aligned_donor_source,absolute_regret,0.010504996131586043
462,aligned_donor_source,absolute_regret,0.07583331443393004
511,aligned_donor_source,absolute_regret,0.10894053659260054
568,aligned_donor_source,absolute_regret,0.03075217542402401
679,aligned_donor_source,absolute_regret,0.10810692220940968
712,aligned_donor_source,absolute_regret,0.023918738100137265
780,aligned_donor_source,absolute_regret,0.026825649650387827
870,aligned_donor_source,absolute_regret,0.17002488052435819
888,aligned_donor_source,absolute_regret,0.0750768636373823
975,aligned_donor_source,absolute_regret,0.023345131843818607
19,aligned_donor_source,normalized_regret,0.05668308888595382
85,aligned_donor_source,normalized_regret,0.051517060285580764
131,aligned_donor_source,normalized_regret,0.041481543645046526
224,aligned_donor_source,normalized_regret,0.050372063781743706
301,aligned_donor_source,normalized_regret,0.026001572697550795
345,aligned_donor_source,normalized_regret,0.04013617180125753
384,aligned_donor_source,normalized_regret,0.05846410046632603
462,aligned_donor_source,normalized_regret,0.09084701865088557
511,aligned_donor_source,normalized_regret,0.06354508723864034
568,aligned_donor_source,normalized_regret,0.05605957699844028
679,aligned_donor_source,normalized_regret,0.04258356768892924
712,aligned_donor_source,normalized_regret,0.08130820716631786
780,aligned_donor_source,normalized_regret,0.05939630543470862
870,aligned_donor_source,normalized_regret,0.0918545181128221
888,aligned_donor_source,normalized_regret,0.026965936288597152
975,aligned_donor_source,normalized_regret,0.018033715771055652
19,aligned_donor_source,oracle_hit,0.9074074074074074
