family,set_id,policy,metric,units,valid_units,mean,median,Q90,Q95,Q99,max,estimand,unit,source_observations_sha256
primary,primary_39fca70e9e59,uniform_random_expected,normalized_regret,64,64,0.3928033933733598,0.37410065870857145,0.47905292326919374,0.543844217302703,0.615422989136779,0.6184877209337823,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,candidate_B,absolute_regret,64,64,0.0,0.0,0.0,0.0,0.0,0.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,candidate_B,normalized_regret,64,64,0.0,0.0,0.0,0.0,0.0,0.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,constant,absolute_regret,64,64,0.0,0.0,0.0,0.0,0.0,0.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,constant,normalized_regret,64,64,0.0,0.0,0.0,0.0,0.0,0.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,energy,absolute_regret,64,64,0.0,0.0,0.0,0.0,0.0,0.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,energy,normalized_regret,64,64,0.0,0.0,0.0,0.0,0.0,0.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,hybrid,absolute_regret,64,64,0.0,0.0,0.0,0.0,0.0,0.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,hybrid,normalized_regret,64,64,0.0,0.0,0.0,0.0,0.0,0.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,latest_stage,absolute_regret,64,64,0.0,0.0,0.0,0.0,0.0,0.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,latest_stage,normalized_regret,64,64,0.0,0.0,0.0,0.0,0.0,0.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,pure_G,absolute_regret,64,64,0.0,0.0,0.0,0.0,0.0,0.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,pure_G,normalized_regret,64,64,0.0,0.0,0.0,0.0,0.0,0.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,stage_position_only,absolute_regret,64,64,0.0,0.0,0.0,0.0,0.0,0.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,stage_position_only,normalized_regret,64,64,0.0,0.0,0.0,0.0,0.0,0.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,uniform_random_expected,absolute_regret,64,64,0.026867595277149565,0.013175235845037507,0.04581137796089153,0.07763870525637698,0.2655061384318221,0.26995584901912173,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,uniform_random_expected,normalized_regret,64,64,0.4408699036222669,0.41897376024318445,0.5579348920449566,0.5889948559280522,0.6284933970135343,0.6460825130443514,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,candidate_B,absolute_regret,64,64,0.24046370877653936,0.0,0.29923130032530476,1.2067976995490852,3.4831223986048325,5.59857749839296,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,candidate_B,normalized_regret,64,64,0.23541871984982832,0.0,1.0,1.0,1.0,1.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,constant,absolute_regret,64,64,0.913618021157313,0.025013400335010885,1.8919627618697994,5.094897712729104,14.120576742817095,18.69596083738753,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,constant,normalized_regret,64,64,0.25395994201463906,0.04903478318188874,1.0,1.0,1.0,1.0,raw_unit_tail_descriptive_not_class_bootstrap,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
