source_file,key,field,main,reference,abs_diff,tolerance,scaled_error,source_observations_sha256
matched_cost_regret_summary.csv,primary/candidate_B/normalized_regret,high,0.04965797664841739,0.04965797664841739,0.0,5.965797664841739e-12,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/candidate_B/normalized_regret,lower95,0.03775412281222877,0.03775412281222877,0.0,4.775412281222877e-12,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/candidate_B/normalized_regret,upper95,0.04861474491754039,0.048614744917540385,6.938893903907228e-18,5.861474491754039e-12,1.18381371678217e-06,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/candidate_B/oracle_hit,point,0.90625,0.90625,0.0,9.1625e-11,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/candidate_B/oracle_hit,low,0.8952546296296297,0.8952546296296297,0.0,9.052546296296297e-11,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/candidate_B/oracle_hit,high,0.9166666666666666,0.9166666666666666,0.0,9.266666666666666e-11,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/candidate_B/oracle_hit,lower95,0.8969907407407407,0.8969907407407407,0.0,9.069907407407407e-11,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/candidate_B/oracle_hit,upper95,0.9149305555555556,0.9149305555555556,0.0,9.249305555555556e-11,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/hybrid/absolute_regret,point,0.18648293377493813,0.18648293377493813,0.0,1.9648293377493813e-11,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/hybrid/absolute_regret,low,0.04735443295013846,0.04735443295013846,0.0,5.7354432950138465e-12,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/hybrid/absolute_regret,high,0.40853177105929345,0.40853177105929345,0.0,4.185317710592935e-11,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/hybrid/absolute_regret,lower95,0.0562652540654004,0.0562652540654004,0.0,6.62652540654004e-12,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/hybrid/absolute_regret,upper95,0.381590627317738,0.381590627317738,0.0,3.9159062731773806e-11,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/hybrid/normalized_regret,point,0.04313539301865944,0.04313539301865944,0.0,5.313539301865944e-12,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/hybrid/normalized_regret,low,0.0368728479061172,0.036872847906117195,6.938893903907228e-18,4.687284790611719e-12,1.4803653317172692e-06,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/hybrid/normalized_regret,high,0.04965797664841739,0.04965797664841739,0.0,5.965797664841739e-12,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/hybrid/normalized_regret,lower95,0.03775412281222877,0.03775412281222877,0.0,4.775412281222877e-12,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/hybrid/normalized_regret,upper95,0.04861474491754039,0.048614744917540385,6.938893903907228e-18,5.861474491754039e-12,1.18381371678217e-06,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/hybrid/oracle_hit,point,0.90625,0.90625,0.0,9.1625e-11,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/hybrid/oracle_hit,low,0.8952546296296297,0.8952546296296297,0.0,9.052546296296297e-11,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/hybrid/oracle_hit,high,0.9166666666666666,0.9166666666666666,0.0,9.266666666666666e-11,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/hybrid/oracle_hit,lower95,0.8969907407407407,0.8969907407407407,0.0,9.069907407407407e-11,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
matched_cost_regret_summary.csv,primary/hybrid/oracle_hit,upper95,0.9149305555555556,0.9149305555555556,0.0,9.249305555555556e-11,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
predictor_pairwise_comparison.csv,primary/hybrid/energy/absolute_regret,point,-0.10632529049925843,-0.10632529049925842,1.3877787807814457e-17,1.1632529049925842e-11,1.193015529834669e-06,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
predictor_pairwise_comparison.csv,primary/hybrid/energy/absolute_regret,low,-0.16786024448240766,-0.16786024448240763,2.7755575615628914e-17,1.7786024448240763e-11,1.5605272384731402e-06,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
