rank,family,class_id,seed,set_id,policy,selected,selected_stage,oracle_stage,candidate_count,saving_bits,selected_probability_json,unit,estimand,oracle,absolute_regret,normalized_regret,resolved,risk_range,range_tau,selected_Y,oracle_Y,oracle_hit,all_minima_hit,source_observations_sha256
10,primary,511,79,primary_9688e435275c,energy,adaln_modulation_projection_all_blocks_stage10_w4,10,15,3,2675441664,"{""adaln_modulation_projection_all_blocks_stage10_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,adaln_modulation_projection_all_blocks_stage15_w4,9.120213269433151,1.0,True,9.120213269433151,9.224510363310461e-12,9.224510363310461,0.10429709387731023,0.0,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
11,primary,679,79,primary_d0adb13a6bdf,energy,mlp_up_gate_all_blocks_stage4_w4,4,15,3,1783627776,"{""mlp_up_gate_all_blocks_stage4_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,mlp_up_gate_all_blocks_stage15_w4,8.76392101464029,0.48452437649196045,True,18.08767822600089,1.850846534580785e-11,9.18470813444725,0.42078711980695965,0.0,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
12,primary,888,80,primary_d0adb13a6bdf,energy,mlp_up_gate_all_blocks_stage4_w4,4,15,3,1783627776,"{""mlp_up_gate_all_blocks_stage4_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,mlp_up_gate_all_blocks_stage15_w4,5.84322444321576,1.0,True,5.84322444321576,6.3854300829671616e-12,6.3854300829671615,0.5422056397514012,0.0,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
13,primary,568,82,primary_494f26df6416,energy,attention_output_all_blocks_stage4_w4,4,15,3,445906944,"{""attention_output_all_blocks_stage4_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,attention_output_all_blocks_stage15_w4,5.836088148003056,0.5241326045819941,True,11.13475501616132,1.1266139169448093e-11,5.96747230128983,0.1313841532867741,0.0,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
14,primary,679,79,primary_494f26df6416,energy,attention_output_all_blocks_stage4_w4,4,15,3,445906944,"{""attention_output_all_blocks_stage4_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,attention_output_all_blocks_stage15_w4,5.59857749839296,1.0,True,5.59857749839296,6.000546541613521e-12,6.000546541613521,0.4019690432205607,0.0,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
15,primary,888,79,primary_d0adb13a6bdf,energy,mlp_up_gate_all_blocks_stage4_w4,4,15,3,1783627776,"{""mlp_up_gate_all_blocks_stage4_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,mlp_up_gate_all_blocks_stage15_w4,5.339512851842358,1.0,True,5.339512851842358,6.966952043004596e-12,6.966952043004596,1.6274391911622388,0.0,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
16,primary,780,81,primary_ec9365fcc9ef,energy,adaln_conditioning_all_blocks_stage10_w4,10,15,3,544997376,"{""adaln_conditioning_all_blocks_stage10_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,adaln_conditioning_all_blocks_stage15_w4,4.4411432168661245,1.0,True,4.4411432168661245,4.4951990921207435e-12,4.495199092120743,0.05405587525461896,0.0,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
17,primary,679,79,primary_9688e435275c,energy,adaln_modulation_projection_all_blocks_stage10_w4,10,15,3,2675441664,"{""adaln_modulation_projection_all_blocks_stage10_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,adaln_modulation_projection_all_blocks_stage15_w4,3.6184700729932615,0.19378717954354077,True,18.672391442594122,1.8782779471938115e-11,3.728858102337256,0.11038802934399426,0.0,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
18,primary,870,82,primary_ec9365fcc9ef,energy,adaln_conditioning_all_blocks_stage10_w4,10,15,3,544997376,"{""adaln_conditioning_all_blocks_stage10_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,adaln_conditioning_all_blocks_stage15_w4,3.321853571573669,1.0,True,3.321853571573669,3.400614861529334e-12,3.4006148615293337,0.07876128995566489,0.0,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
19,primary,131,79,primary_9688e435275c,energy,adaln_modulation_projection_all_blocks_stage10_w4,10,15,3,2675441664,"{""adaln_modulation_projection_all_blocks_stage10_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,adaln_modulation_projection_all_blocks_stage15_w4,3.2875841878401393,0.678777606139027,True,4.843389289962488,4.939842724778145e-12,3.384037622655797,0.0964534348156576,0.0,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
