family,set_id,policy,candidate,stage,count,total,frequency,estimand,source_observations_sha256
primary,primary_494f26df6416,oracle,attention_output_all_blocks_stage10_w4,10,7,64,0.109375,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,oracle,attention_output_all_blocks_stage15_w4,15,30,64,0.46875,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_52112c337d08,oracle,attention_output_all_blocks_stage4_w6,4,6,64,0.09375,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_52112c337d08,oracle,attention_output_all_blocks_stage10_w6,10,11,64,0.171875,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_52112c337d08,oracle,attention_output_all_blocks_stage15_w6,15,47,64,0.734375,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_5303e1fccdc7,oracle,mlp_down_all_blocks_stage4_w8,4,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_5303e1fccdc7,oracle,mlp_down_all_blocks_stage10_w8,10,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_5303e1fccdc7,oracle,mlp_down_all_blocks_stage15_w8,15,64,64,1.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_58a05bddec17,oracle,output_conditioning_projection_stage4_w4,4,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_58a05bddec17,oracle,output_conditioning_projection_stage10_w4,10,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_58a05bddec17,oracle,output_conditioning_projection_stage15_w4,15,64,64,1.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_59152023723c,oracle,qkv_all_blocks_stage4_w4,4,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_59152023723c,oracle,qkv_all_blocks_stage10_w4,10,3,64,0.046875,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_59152023723c,oracle,qkv_all_blocks_stage15_w4,15,61,64,0.953125,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_5e743138a0d1,oracle,adaln_modulation_projection_all_blocks_stage4_w6,4,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_5e743138a0d1,oracle,adaln_modulation_projection_all_blocks_stage10_w6,10,1,64,0.015625,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_5e743138a0d1,oracle,adaln_modulation_projection_all_blocks_stage15_w6,15,63,64,0.984375,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_6c830b5fb730,oracle,input_patch_projection_stage4_w6,4,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_6c830b5fb730,oracle,input_patch_projection_stage10_w6,10,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_6c830b5fb730,oracle,input_patch_projection_stage15_w6,15,64,64,1.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_705fa28644fa,oracle,output_conditioning_projection_stage4_w6,4,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_705fa28644fa,oracle,output_conditioning_projection_stage10_w6,10,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_705fa28644fa,oracle,output_conditioning_projection_stage15_w6,15,64,64,1.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_78aa853a8dcb,oracle,output_head_projection_stage4_w4,4,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_78aa853a8dcb,oracle,output_head_projection_stage10_w4,10,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_78aa853a8dcb,oracle,output_head_projection_stage15_w4,15,64,64,1.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_8748e8c257a6,oracle,output_head_projection_stage4_w8,4,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_8748e8c257a6,oracle,output_head_projection_stage10_w8,10,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_8748e8c257a6,oracle,output_head_projection_stage15_w8,15,64,64,1.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_8bc97f489508,oracle,output_conditioning_projection_stage4_w8,4,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_8bc97f489508,oracle,output_conditioning_projection_stage10_w8,10,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_8bc97f489508,oracle,output_conditioning_projection_stage15_w8,15,64,64,1.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_903cdd7eae0a,oracle,attention_output_all_blocks_stage4_w8,4,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_903cdd7eae0a,oracle,attention_output_all_blocks_stage10_w8,10,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_903cdd7eae0a,oracle,attention_output_all_blocks_stage15_w8,15,64,64,1.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_9688e435275c,oracle,adaln_modulation_projection_all_blocks_stage4_w4,4,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_9688e435275c,oracle,adaln_modulation_projection_all_blocks_stage10_w4,10,3,64,0.046875,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_9688e435275c,oracle,adaln_modulation_projection_all_blocks_stage15_w4,15,61,64,0.953125,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_98d1f6d8741d,oracle,adaln_modulation_projection_all_blocks_stage4_w8,4,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_98d1f6d8741d,oracle,adaln_modulation_projection_all_blocks_stage10_w8,10,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_98d1f6d8741d,oracle,adaln_modulation_projection_all_blocks_stage15_w8,15,64,64,1.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_a8226b7ab73c,oracle,adaln_conditioning_all_blocks_stage4_w8,4,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_a8226b7ab73c,oracle,adaln_conditioning_all_blocks_stage10_w8,10,1,64,0.015625,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_a8226b7ab73c,oracle,adaln_conditioning_all_blocks_stage15_w8,15,63,64,0.984375,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_abefa8b91ecd,oracle,mlp_down_all_blocks_stage4_w4,4,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_abefa8b91ecd,oracle,mlp_down_all_blocks_stage10_w4,10,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_abefa8b91ecd,oracle,mlp_down_all_blocks_stage15_w4,15,64,64,1.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_c3b87c54a36d,oracle,qkv_all_blocks_stage4_w6,4,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_c3b87c54a36d,oracle,qkv_all_blocks_stage10_w6,10,3,64,0.046875,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_c3b87c54a36d,oracle,qkv_all_blocks_stage15_w6,15,61,64,0.953125,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_d0adb13a6bdf,oracle,mlp_up_gate_all_blocks_stage4_w4,4,32,64,0.5,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_d0adb13a6bdf,oracle,mlp_up_gate_all_blocks_stage10_w4,10,3,64,0.046875,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_d0adb13a6bdf,oracle,mlp_up_gate_all_blocks_stage15_w4,15,29,64,0.453125,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_d82bcfdaeedc,oracle,mlp_up_gate_all_blocks_stage4_w6,4,25,64,0.390625,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_d82bcfdaeedc,oracle,mlp_up_gate_all_blocks_stage10_w6,10,6,64,0.09375,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_d82bcfdaeedc,oracle,mlp_up_gate_all_blocks_stage15_w6,15,33,64,0.515625,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_da06c09aa41a,oracle,adaln_conditioning_all_blocks_stage4_w6,4,10,64,0.15625,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_da06c09aa41a,oracle,adaln_conditioning_all_blocks_stage10_w6,10,37,64,0.578125,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_da06c09aa41a,oracle,adaln_conditioning_all_blocks_stage15_w6,15,17,64,0.265625,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_e3ec35ff3518,oracle,input_patch_projection_stage4_w8,4,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_e3ec35ff3518,oracle,input_patch_projection_stage10_w8,10,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_e3ec35ff3518,oracle,input_patch_projection_stage15_w8,15,64,64,1.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_ec9365fcc9ef,oracle,adaln_conditioning_all_blocks_stage4_w4,4,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_ec9365fcc9ef,oracle,adaln_conditioning_all_blocks_stage10_w4,10,12,64,0.1875,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_ec9365fcc9ef,oracle,adaln_conditioning_all_blocks_stage15_w4,15,52,64,0.8125,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_f52ef9bf6b5e,oracle,output_head_projection_stage4_w6,4,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_f52ef9bf6b5e,oracle,output_head_projection_stage10_w6,10,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_f52ef9bf6b5e,oracle,output_head_projection_stage15_w6,15,64,64,1.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_f948566cda47,oracle,mlp_down_all_blocks_stage4_w6,4,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_f948566cda47,oracle,mlp_down_all_blocks_stage10_w6,10,0,64,0.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_f948566cda47,oracle,mlp_down_all_blocks_stage15_w6,15,64,64,1.0,canonical_tie_order_oracle_frequency,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
