table,metric,key,main,independent,abs_diff,relative_diff,tolerance,scaled_error,passed,checked_rows
paired_comparisons,high,"[""primary"", ""candidate_B"", ""energy"", ""absolute_regret""]",-0.057550379927504586,-0.057550379927504586,0.0,0.0,6.7550379927504586e-12,0.0,True,21
paired_comparisons,low,"[""primary"", ""candidate_B"", ""energy"", ""absolute_regret""]",-0.16786024448240766,-0.16786024448240766,0.0,0.0,1.7786024448240766e-11,0.0,True,21
paired_comparisons,lower95,"[""primary"", ""candidate_B"", ""energy"", ""absolute_regret""]",-0.15720188504818616,-0.15720188504818616,0.0,0.0,1.6720188504818615e-11,0.0,True,21
paired_comparisons,negative_improvement,"[""primary"", ""candidate_B"", ""energy"", ""absolute_regret""]",16,16,0,,0,0,True,21
paired_comparisons,nonworse,"[""primary"", ""candidate_B"", ""energy"", ""absolute_regret""]",16,16,0,,0,0,True,21
paired_comparisons,point,"[""primary"", ""candidate_B"", ""energy"", ""absolute_regret""]",-0.10632529049925843,-0.10632529049925843,0.0,0.0,1.1632529049925844e-11,0.0,True,21
paired_comparisons,positive_worsening,"[""primary"", ""candidate_B"", ""energy"", ""absolute_regret""]",0,0,0,,0,0,True,21
paired_comparisons,upper95,"[""primary"", ""candidate_B"", ""energy"", ""absolute_regret""]",-0.0625477399549141,-0.0625477399549141,0.0,0.0,7.25477399549141e-12,0.0,True,21
policy_equivalence,different_selection,"[""primary"", ""latest_stage"", ""stage_position_only""]",0,0,0,,0,0,True,4
policy_equivalence,exact_selection_alias,"[""primary"", ""latest_stage"", ""stage_position_only""]",True,True,0,,0,0,True,4
policy_equivalence,latest_stage15_sets,"[""primary"", ""latest_stage"", ""stage_position_only""]",27,27,0,,0,0,True,4
policy_equivalence,pure_G_argmin_stage15_sets,"[""primary"", ""latest_stage"", ""stage_position_only""]",27,27,0,,0,0,True,4
policy_equivalence,same_selection,"[""primary"", ""latest_stage"", ""stage_position_only""]",1728,1728,0,,0,0,True,4
policy_equivalence,units,"[""primary"", ""latest_stage"", ""stage_position_only""]",1728,1728,0,,0,0,True,4
policy_selection_frequency,count,"[""primary"", ""primary_019d7c31a48b"", ""constant"", ""mlp_up_gate_all_blocks_stage4_w8""]",0.0,0.0,0.0,0.0,1e-12,0.0,True,648
policy_selection_frequency,frequency,"[""primary"", ""primary_019d7c31a48b"", ""constant"", ""mlp_up_gate_all_blocks_stage4_w8""]",0.0,0.0,0.0,0.0,1e-12,0.0,True,648
policy_selection_frequency,stage,"[""primary"", ""primary_019d7c31a48b"", ""constant"", ""mlp_up_gate_all_blocks_stage4_w8""]",4,4,0,,0,0,True,648
policy_selection_frequency,total,"[""primary"", ""primary_019d7c31a48b"", ""constant"", ""mlp_up_gate_all_blocks_stage4_w8""]",64,64,0,,0,0,True,648
policy_tails,Q90,"[""primary"", ""ALL"", ""uniform_random_expected"", ""normalized_regret""]",0.5472620979262802,0.5472620979262801,1.1102230246251565e-16,2.0286861246778885e-16,5.572620979262802e-11,1.9922816009855873e-06,True,448
policy_tails,Q95,"[""primary"", ""primary_9688e435275c"", ""uniform_random_expected"", ""normalized_regret""]",0.6100546980068269,0.6100546980068272,3.3306690738754696e-16,5.459623677610291e-16,6.200546980068272e-11,5.371572999256263e-06,True,448
policy_tails,Q99,"[""primary"", ""primary_abefa8b91ecd"", ""uniform_random_expected"", ""normalized_regret""]",0.5032576340854318,0.5032576340854317,1.1102230246251565e-16,2.206072892749577e-16,5.132576340854317e-11,2.1630911084322227e-06,True,448
policy_tails,max,"[""primary"", ""primary_019d7c31a48b"", ""uniform_random_expected"", ""normalized_regret""]",0.66203726511737,0.6620372651173698,2.220446049250313e-16,3.353959310518055e-16,6.720372651173698e-11,3.3040519692944663e-06,True,448
policy_tails,mean,"[""primary"", ""primary_abefa8b91ecd"", ""uniform_random_expected"", ""absolute_regret""]",666.8982699569409,666.898269956941,1.1368683772161603e-13,1.7047103410383168e-16,6.66908269956941e-08,1.7046847796467756e-06,True,448
policy_tails,median,"[""primary"", ""primary_ec9365fcc9ef"", ""uniform_random_expected"", ""normalized_regret""]",0.37394937140488826,0.3739493714048884,1.1102230246251565e-16,2.96891266444483e-16,3.839493714048884e-11,2.8915870354541783e-06,True,448
policy_tails,units,"[""primary"", ""ALL"", ""constant"", ""absolute_regret""]",1728,1728,0,,0,0,True,448
policy_tails,valid_units,"[""primary"", ""ALL"", ""constant"", ""absolute_regret""]",1728,1728,0,,0,0,True,448
secondary_results,analysis_status,"[""secondary"", ""summary"", ""constant"", """", """", ""absolute_regret""]",source_summary_only,source_summary_only,0,,0,0,True,20
secondary_results,high,"[""secondary"", ""summary"", ""constant"", """", """", ""absolute_regret""]",0.003278898804148255,0.003278898804148255,0,,0,0,True,20
secondary_results,low,"[""secondary"", ""summary"", ""constant"", """", """", ""absolute_regret""]",0.00157245794835463,0.00157245794835463,0,,0,0,True,20
secondary_results,lower95,"[""secondary"", ""summary"", ""constant"", """", """", ""absolute_regret""]",0.0016953983989225151,0.0016953983989225151,0,,0,0,True,20
secondary_results,point,"[""secondary"", ""summary"", ""constant"", """", """", ""absolute_regret""]",0.002373973169184769,0.002373973169184769,0,,0,0,True,20
secondary_results,source_path,"[""secondary"", ""summary"", ""constant"", """", """", ""absolute_regret""]",evidence/e1pred2r2/matched_cost_regret_summary.csv,evidence/e1pred2r2/matched_cost_regret_summary.csv,0,,0,0,True,20
secondary_results,source_sha256,"[""secondary"", ""summary"", ""constant"", """", """", ""absolute_regret""]",4e3b4c98a1299d139e85cf26fa426edb9dfe793c23a5d38a096072890012c1c5,4e3b4c98a1299d139e85cf26fa426edb9dfe793c23a5d38a096072890012c1c5,0,,0,0,True,20
secondary_results,upper95,"[""secondary"", ""summary"", ""constant"", """", """", ""absolute_regret""]",0.0031230961891513353,0.0031230961891513353,0,,0,0,True,20
