family,class_id,seed,set_id,policy,selected,selected_stage,oracle_stage,candidate_count,saving_bits,selected_probability_json,unit,estimand,oracle,absolute_regret,normalized_regret,resolved,risk_range,range_tau,selected_Y,oracle_Y,oracle_hit,all_minima_hit,source_observations_sha256
primary,462,81,primary_5e743138a0d1,energy,adaln_modulation_projection_all_blocks_stage15_w6,15,15,3,2229534720,"{""adaln_modulation_projection_all_blocks_stage15_w6"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,adaln_modulation_projection_all_blocks_stage15_w6,0.0,0.0,True,0.9644263829369671,1e-12,0.007202748311613051,0.007202748311613051,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_5e743138a0d1,candidate_B,adaln_modulation_projection_all_blocks_stage15_w6,15,15,3,2229534720,"{""adaln_modulation_projection_all_blocks_stage15_w6"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,adaln_modulation_projection_all_blocks_stage15_w6,0.0,0.0,True,0.9644263829369671,1e-12,0.007202748311613051,0.007202748311613051,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_5e743138a0d1,hybrid,adaln_modulation_projection_all_blocks_stage15_w6,15,15,3,2229534720,"{""adaln_modulation_projection_all_blocks_stage15_w6"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,adaln_modulation_projection_all_blocks_stage15_w6,0.0,0.0,True,0.9644263829369671,1e-12,0.007202748311613051,0.007202748311613051,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_5e743138a0d1,latest_stage,adaln_modulation_projection_all_blocks_stage15_w6,15,15,3,2229534720,"{""adaln_modulation_projection_all_blocks_stage15_w6"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,adaln_modulation_projection_all_blocks_stage15_w6,0.0,0.0,True,0.9644263829369671,1e-12,0.007202748311613051,0.007202748311613051,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_5e743138a0d1,stage_position_only,adaln_modulation_projection_all_blocks_stage15_w6,15,15,3,2229534720,"{""adaln_modulation_projection_all_blocks_stage15_w6"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,adaln_modulation_projection_all_blocks_stage15_w6,0.0,0.0,True,0.9644263829369671,1e-12,0.007202748311613051,0.007202748311613051,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_5e743138a0d1,pure_G,adaln_modulation_projection_all_blocks_stage15_w6,15,15,3,2229534720,"{""adaln_modulation_projection_all_blocks_stage15_w6"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,adaln_modulation_projection_all_blocks_stage15_w6,0.0,0.0,True,0.9644263829369671,1e-12,0.007202748311613051,0.007202748311613051,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_5e743138a0d1,uniform_random_expected,,,15,3,2229534720,"{""adaln_modulation_projection_all_blocks_stage10_w6"": 0.3333333333333333, ""adaln_modulation_projection_all_blocks_stage15_w6"": 0.3333333333333333, ""adaln_modulation_projection_all_blocks_stage4_w6"": 0.3333333333333333}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,adaln_modulation_projection_all_blocks_stage15_w6,0.35795864051797466,0.37116222331857346,True,0.9644263829369671,1e-12,0.3651613888295877,0.007202748311613051,0.3333333333333333,0.3333333333333333,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_6c830b5fb730,constant,input_patch_projection_stage15_w6,15,15,3,184320,"{""input_patch_projection_stage15_w6"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,input_patch_projection_stage15_w6,0.0,0.0,True,0.08366647738940357,1e-12,0.00349420600286976,0.00349420600286976,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_6c830b5fb730,energy,input_patch_projection_stage15_w6,15,15,3,184320,"{""input_patch_projection_stage15_w6"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,input_patch_projection_stage15_w6,0.0,0.0,True,0.08366647738940357,1e-12,0.00349420600286976,0.00349420600286976,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_6c830b5fb730,candidate_B,input_patch_projection_stage15_w6,15,15,3,184320,"{""input_patch_projection_stage15_w6"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,input_patch_projection_stage15_w6,0.0,0.0,True,0.08366647738940357,1e-12,0.00349420600286976,0.00349420600286976,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
