summary_type,group_name,stage_index,weight_bits,cell_count,median,mean,interquartile_range,interdecile_range,positive_cell_count,negative_cell_count,tangent_supported_cell_count,high_curvature_cell_count
group_x_stage,output_head_projection,15.0,,3,0.004774956792886178,0.021404682770223494,0.032787171933774874,0.0524594750940398,2,1,3,0
group_x_stage,output_head_projection,4.0,,3,0.9109853292101474,0.2694900840639413,1.348661091475814,2.1578577463613025,2,1,3,3
group_x_stage,qkv_all_blocks,10.0,,3,2.4220511419609214,2.7099245058072534,1.1454461901255621,1.8327139042008995,3,0,3,3
group_x_stage,qkv_all_blocks,15.0,,3,1.0441481414843647,1.0273793136220186,0.28981802181979766,0.46370883491167625,3,0,3,2
group_x_stage,qkv_all_blocks,4.0,,3,0.6462540895443413,1.0767751070225617,0.7159091856745502,1.1454546970792805,3,0,3,3
group_x_bit,adaln_conditioning_all_blocks,,4.0,3,1.653116392415031,1.6817654728810165,1.1925114933121161,1.9080183892993854,3,0,3,1
group_x_bit,adaln_conditioning_all_blocks,,6.0,3,2.2082972073203964,2.464655833017957,0.9724005621141172,1.5558408993825874,3,0,3,2
group_x_bit,adaln_conditioning_all_blocks,,8.0,3,1.0074881381320366,1.5420004413569839,1.6439692780742683,2.6303508449188295,3,0,3,2
group_x_bit,adaln_modulation_projection_all_blocks,,4.0,3,1.5791657459659747,1.6288834542488837,1.4193729373072173,2.2709966996915476,3,0,3,3
group_x_bit,adaln_modulation_projection_all_blocks,,6.0,3,1.72504411469017,2.022957875538833,0.8461711466258235,1.3538738346013173,3,0,3,1
group_x_bit,adaln_modulation_projection_all_blocks,,8.0,3,1.0448091406291435,1.213591633855012,0.8078062410142791,1.2924899856228467,3,0,3,1
group_x_bit,attention_output_all_blocks,,4.0,3,1.6185229205604144,1.8532574759365854,0.9431800076700458,1.5090880122720738,3,0,3,3
group_x_bit,attention_output_all_blocks,,6.0,3,1.615941823279467,2.019480082736737,1.0925247970908616,1.7480396753453784,3,0,3,1
group_x_bit,attention_output_all_blocks,,8.0,3,0.7223376522611079,1.000846542631547,1.5220121443684573,2.435219430989532,2,1,3,1
group_x_bit,input_patch_projection,,4.0,3,0.010953916861865193,-0.0951811042767609,0.47880348339526785,0.7660855734324286,2,1,3,2
group_x_bit,input_patch_projection,,6.0,3,0.3299755541493787,0.5073090642922217,0.6184143371687661,0.989462939470026,2,1,3,2
group_x_bit,input_patch_projection,,8.0,3,0.4458176018834481,0.3091988355351167,0.27220083890312496,0.43552134224499994,2,1,3,2
group_x_bit,mlp_down_all_blocks,,4.0,3,2.2655466921713807,2.059148896148683,0.45923400508019396,0.7347744081283105,3,0,3,1
