cell_id,cell_index,group_name,stage_index,weight_bits,discovery_L_EDG_state,L-EDG-state,cell_tangent_status,sign_agreement,confirmation_to_discovery_shrinkage,robust_predicted_confirmation,robust_residual,overall_spearman,spearman_class_bootstrap_95_ci_low,spearman_class_bootstrap_95_ci_high,theil_sen_slope,theil_sen_intercept,theil_sen_slope_95_ci_low,theil_sen_slope_95_ci_high
output_head_projection_stage4_w6,15,output_head_projection,4,6,-1.3999186299849755,1.1506462183720014,E1C_TANGENT_SUPPORTED,False,-0.8219379281954057,0.028836974806342397,1.121809243565659,0.6551724137931034,0.6525027808676307,0.8135706340378197,0.5174116961160083,0.7531712475712673,0.32003337993340697,0.7830899541132988
adaln_conditioning_all_blocks_stage4_w8,16,adaln_conditioning_all_blocks,4,8,0.1652873148951892,0.31711971095103725,E1C_TANGENT_SUPPORTED,True,1.9185967849506596,0.8386928375176479,-0.5215731265666106,0.6551724137931034,0.6525027808676307,0.8135706340378197,0.5174116961160083,0.7531712475712673,0.32003337993340697,0.7830899541132988
adaln_modulation_projection_all_blocks_stage4_w4,17,adaln_modulation_projection_all_blocks,4,4,0.2343693710831207,1.0802365843537045,E1C_TANGENT_SUPPORTED,True,4.609120122486446,0.8744367013810269,0.2057998829726776,0.6551724137931034,0.6525027808676307,0.8135706340378197,0.5174116961160083,0.7531712475712673,0.32003337993340697,0.7830899541132988
input_patch_projection_stage15_w4,18,input_patch_projection,15,4,0.0109539168618651,0.019982428438057004,E1C_TANGENT_SUPPORTED,True,1.824226775686395,0.7588389322738787,-0.7388565038358217,0.6551724137931034,0.6525027808676307,0.8135706340378197,0.5174116961160083,0.7531712475712673,0.32003337993340697,0.7830899541132988
output_conditioning_projection_stage15_w6,19,output_conditioning_projection,15,6,-0.0271831445487162,0.01016510781193571,E1C_TANGENT_SUPPORTED,False,-0.37394892977588884,0.7391063706445494,-0.7289412628326137,0.6551724137931034,0.6525027808676307,0.8135706340378197,0.5174116961160083,0.7531712475712673,0.32003337993340697,0.7830899541132988
output_head_projection_stage15_w8,20,output_head_projection,15,8,-0.0030676261748827,0.042326778462407455,E1C_TANGENT_SUPPORTED,False,-13.797893240373707,0.7515840219090714,-0.709257243446664,0.6551724137931034,0.6525027808676307,0.8135706340378197,0.5174116961160083,0.7531712475712673,0.32003337993340697,0.7830899541132988
qkv_all_blocks_stage4_w4,21,qkv_all_blocks,4,4,0.5761264300871219,0.6813923267706015,E1C_TANGENT_SUPPORTED,True,1.1827131879153006,1.0512658009399058,-0.3698734741693044,0.6551724137931034,0.6525027808676307,0.8135706340378197,0.5174116961160083,0.7531712475712673,0.32003337993340697,0.7830899541132988
adaln_conditioning_all_blocks_stage4_w4,22,adaln_conditioning_all_blocks,4,4,0.5035785198018933,0.18002655719314173,E1C_TANGENT_SUPPORTED,True,0.35749451200572213,1.0137286636295537,-0.833702106436412,0.6551724137931034,0.6525027808676307,0.8135706340378197,0.5174116961160083,0.7531712475712673,0.32003337993340697,0.7830899541132988
mlp_down_all_blocks_stage4_w4,23,mlp_down_all_blocks,4,4,2.415184003217528,2.769768863624649,E1C_TANGENT_SUPPORTED,True,1.1468148430656795,2.0028156991082993,0.7669531645163499,0.6551724137931034,0.6525027808676307,0.8135706340378197,0.5174116961160083,0.7531712475712673,0.32003337993340697,0.7830899541132988
adaln_modulation_projection_all_blocks_stage10_w8,24,adaln_modulation_projection_all_blocks,10,8,2.1057891214822253,2.277997880434505,E1C_TANGENT_SUPPORTED,True,1.0817787295012071,1.8427311685800247,0.4352667118544802,0.6551724137931034,0.6525027808676307,0.8135706340378197,0.5174116961160083,0.7531712475712673,0.32003337993340697,0.7830899541132988
