kind,scope,target_kind,policy,rows,defined_rows,mean,Q90,Q95,Q99,max,worst_identity,excluded_class,leave_one_class_out_point,original_point
raw_tail,mlp_down_all_blocks:probe5,scheduler64,scalar,32,32,0.17040601232771935,0.27647192437362916,0.3015392894809884,0.30916005857610473,0.31208264673680103,"[701, 110, ""mlp_down_all_blocks"", 4, 5]",,,
raw_tail,mlp_down_all_blocks:probe5,scheduler64,full,32,32,0.07335080466588656,0.09682451483027442,0.10979912492467256,0.1403841855622088,0.14988447902437071,"[701, 110, ""mlp_down_all_blocks"", 4, 5]",,,
raw_tail,mlp_down_all_blocks:probe11,operational,noJ,32,32,3.5409447530191382,3.8069569534366274,3.836192487868366,3.9520477846624518,3.989616462445003,"[789, 109, ""mlp_down_all_blocks"", 4, 11]",,,
raw_tail,mlp_down_all_blocks:probe11,operational,scalar,32,32,2.272541826422572,2.6528377491347097,2.857551204243728,2.8969996176169053,2.8998827378247407,"[206, 108, ""mlp_down_all_blocks"", 4, 11]",,,
raw_tail,mlp_down_all_blocks:probe11,operational,full,32,32,2.588221264823833,3.1682888604379698,5.203159028755422,7.485489605754239,7.62294167430836,"[206, 107, ""mlp_down_all_blocks"", 4, 11]",,,
raw_tail,mlp_down_all_blocks:probe11,scheduler64,noJ,32,32,3.5409436804647556,3.8069558803303707,3.8361911999222036,3.9520464869301954,3.9896152016892437,"[789, 109, ""mlp_down_all_blocks"", 4, 11]",,,
raw_tail,mlp_down_all_blocks:probe11,scheduler64,scalar,32,32,2.2725414829245008,2.652837509572302,2.8575507251492676,2.896999271248289,2.8998824281923836,"[206, 108, ""mlp_down_all_blocks"", 4, 11]",,,
raw_tail,mlp_down_all_blocks:probe11,scheduler64,full,32,32,2.588221016576184,3.168288656155364,5.203158790377787,7.485489488784327,7.62294163507218,"[206, 107, ""mlp_down_all_blocks"", 4, 11]",,,
class_influence,available_balanced,operational,,,,,,,,,,123,-0.014867293379015375,0.010257031069072282
class_influence,available_balanced,operational,,,,,,,,,,206,-0.010616790384119862,0.010257031069072282
class_influence,available_balanced,operational,,,,,,,,,,325,0.01882408905151724,0.010257031069072282
class_influence,available_balanced,operational,,,,,,,,,,408,0.020906350723664813,0.010257031069072282
class_influence,available_balanced,operational,,,,,,,,,,569,0.01126558543626078,0.010257031069072282
class_influence,available_balanced,operational,,,,,,,,,,701,0.019604032364327183,0.010257031069072282
class_influence,available_balanced,operational,,,,,,,,,,789,0.01601170052349774,0.010257031069072282
class_influence,available_balanced,operational,,,,,,,,,,887,0.020928574216445766,0.010257031069072282
class_influence,available_balanced,scheduler64,,,,,,,,,,123,-0.014867266409346358,0.010257054894255536
class_influence,available_balanced,scheduler64,,,,,,,,,,206,-0.010616768607000046,0.010257054894255536
class_influence,available_balanced,scheduler64,,,,,,,,,,325,0.018824106690325106,0.010257054894255536
class_influence,available_balanced,scheduler64,,,,,,,,,,408,0.020906371186410113,0.010257054894255536
class_influence,available_balanced,scheduler64,,,,,,,,,,569,0.011265612834242317,0.010257054894255536
class_influence,available_balanced,scheduler64,,,,,,,,,,701,0.019604060821775213,0.010257054894255536
class_influence,available_balanced,scheduler64,,,,,,,,,,789,0.01601172440520424,0.010257054894255536
class_influence,available_balanced,scheduler64,,,,,,,,,,887,0.020928598232433645,0.010257054894255536
