estimator,target_kind,metric,scope,point,lower95,upper95,defined_classes,total_classes,help,hurt,tie
mean,scheduler64,abs_full_minus_noJ,available_balanced,-1.3707181106032933,-1.4400542371210958,-1.2911498171571143,8,8,,,
mean,scheduler64,abs_scalar_minus_noJ,available_balanced,-1.3809751654975488,-1.4190808070996435,-1.3458732573896544,8,8,,,
median,operational,err_abs_noJ,available_balanced,1.8194367151060273,1.7934380657174178,1.844591376104447,8,8,,,
median,operational,err_abs_scalar,available_balanced,0.4354204995209041,0.3921840794593028,0.47691785599814157,8,8,,,
median,operational,err_abs_full,available_balanced,0.39615761344343114,0.35341840103407945,0.43847104909804113,8,8,,,
median,operational,err_sq_noJ,available_balanced,9.273091142496721,9.013719652818796,9.530261370981524,8,8,,,
median,operational,err_sq_scalar,available_balanced,0.8879675610220961,0.7266079352306846,1.0492722589172965,8,8,,,
median,operational,err_sq_full,available_balanced,0.9060364787753163,0.721163477134709,1.094238034395678,8,8,,,
median,operational,err_rel_noJ,available_balanced,0.31301651758494026,0.309762543588713,0.31618905928277335,8,8,,,
median,operational,err_rel_scalar,available_balanced,0.07846642000603585,0.07074242788274132,0.08555771456452532,8,8,,,
median,operational,err_rel_full,available_balanced,0.025775161075486823,0.022759640604291247,0.02874110691428791,8,8,,,
median,operational,abs_full_minus_scalar,available_balanced,-0.04640025314766082,-0.055636431399267064,-0.0366437847383908,8,8,,,
median,operational,abs_full_minus_noJ,available_balanced,-1.4302968111369838,-1.4697264970451673,-1.3925232990610157,8,8,,,
median,operational,abs_scalar_minus_noJ,available_balanced,-1.3814747524588815,-1.421320944531637,-1.344529140892388,8,8,,,
median,scheduler64,err_abs_noJ,available_balanced,1.8194367159662699,1.7934380661733518,1.8445913868764374,8,8,,,
median,scheduler64,err_abs_scalar,available_balanced,0.43542047261028505,0.3921840609176571,0.47691783188224623,8,8,,,
median,scheduler64,err_abs_full,available_balanced,0.3961576106499797,0.3534184072511437,0.4384710315245357,8,8,,,
median,scheduler64,err_sq_noJ,available_balanced,9.273092321275213,9.013720938552524,9.53026255737532,8,8,,,
median,scheduler64,err_sq_scalar,available_balanced,0.8879672981962397,0.7266077152488153,1.049271989483322,8,8,,,
median,scheduler64,err_sq_full,available_balanced,0.9060362561669739,0.7211632837235333,1.0942378066242546,8,8,,,
median,scheduler64,err_rel_noJ,available_balanced,0.31301655410799795,0.3097625811863894,0.3161890578177149,8,8,,,
median,scheduler64,err_rel_scalar,available_balanced,0.07846642434936618,0.07074238193318408,0.08555774401860267,8,8,,,
median,scheduler64,err_rel_full,available_balanced,0.02577509985373414,0.022759653581664752,0.028741048810620784,8,8,,,
median,scheduler64,abs_full_minus_scalar,available_balanced,-0.04640023033020721,-0.05563639789074151,-0.036643777425395214,8,8,,,
median,scheduler64,abs_full_minus_noJ,available_balanced,-1.430296811166464,-1.46972648053399,-1.3925233022778591,8,8,,,
median,scheduler64,abs_scalar_minus_noJ,available_balanced,-1.3814747780422714,-1.4213209662164026,-1.3445291622171083,8,8,,,
mean,operational,abs_full_minus_scalar,breakdown:available_balanced,0.010257031069072282,-0.0493295519449765,0.08334563696936302,8,8,178,14,0
mean,scheduler64,abs_full_minus_scalar,breakdown:available_balanced,0.010257054894255536,-0.04932953385155472,0.08334565595387161,8,8,178,14,0
mean,operational,abs_full_minus_scalar,breakdown:probe5,-0.03815079079722541,-0.045208994003386134,-0.03229783321005717,8,8,96,0,0
mean,scheduler64,abs_full_minus_scalar,breakdown:probe5,-0.03815078345226326,-0.045209001364143776,-0.032297818968903706,8,8,96,0,0
mean,operational,abs_full_minus_scalar,breakdown:probe11,0.05866485293536998,-0.05951025884673322,0.20354343367122388,8,8,82,14,0
mean,scheduler64,abs_full_minus_scalar,breakdown:probe11,0.058664893240774334,-0.05951020746745187,0.20354344111906328,8,8,82,14,0
mean,operational,abs_full_minus_scalar,breakdown:qkv_all_blocks:probe5,-0.012546277937804606,-0.015813473029908653,-0.010009720310935182,8,8,32,0,0
mean,scheduler64,abs_full_minus_scalar,breakdown:qkv_all_blocks:probe5,-0.012546323227390008,-0.01581356879719309,-0.010009743647974694,8,8,32,0,0
mean,operational,abs_full_minus_scalar,breakdown:qkv_all_blocks:probe11,-0.10877023426892968,-0.12493133706356112,-0.09412624061612472,8,8,32,0,0
mean,scheduler64,abs_full_minus_scalar,breakdown:qkv_all_blocks:probe11,-0.10877019302768418,-0.12493129408821092,-0.09412621575190919,8,8,32,0,0
mean,operational,abs_full_minus_scalar,breakdown:attention_output_all_blocks:probe5,-0.0048507715515037075,-0.006084860482094479,-0.0036635200992399418,8,8,32,0,0
