estimator,target_kind,metric,class_id,value
mean,scheduler64,abs_full_minus_scalar,887,-0.0644437484729913
mean,scheduler64,abs_full_minus_noJ,123,-1.2493027714508347
mean,scheduler64,abs_full_minus_noJ,206,-1.159109240560151
mean,scheduler64,abs_full_minus_noJ,325,-1.4135294424821374
mean,scheduler64,abs_full_minus_noJ,408,-1.4151107834929963
mean,scheduler64,abs_full_minus_noJ,569,-1.4268378277855023
mean,scheduler64,abs_full_minus_noJ,701,-1.3994661446966905
mean,scheduler64,abs_full_minus_noJ,789,-1.3636607963476568
mean,scheduler64,abs_full_minus_noJ,887,-1.5387278780103764
mean,scheduler64,abs_scalar_minus_noJ,123,-1.4354300754703038
mean,scheduler64,abs_scalar_minus_noJ,206,-1.3154830599631957
mean,scheduler64,abs_scalar_minus_noJ,325,-1.3638171348039059
mean,scheduler64,abs_scalar_minus_noJ,408,-1.35082262434217
mean,scheduler64,abs_scalar_minus_noJ,569,-1.4300349770998502
mean,scheduler64,abs_scalar_minus_noJ,701,-1.3442941580983083
mean,scheduler64,abs_scalar_minus_noJ,789,-1.333635164665271
mean,scheduler64,abs_scalar_minus_noJ,887,-1.4742841295373852
median,operational,err_abs_noJ,123,1.7675198730008017
median,operational,err_abs_noJ,206,1.8141508223304734
median,operational,err_abs_noJ,325,1.7715748381120042
median,operational,err_abs_noJ,408,1.7920500957444634
median,operational,err_abs_noJ,569,1.8341385464175903
median,operational,err_abs_noJ,701,1.867842543996086
median,operational,err_abs_noJ,789,1.848963363108319
median,operational,err_abs_noJ,887,1.8592536381384814
median,operational,err_abs_scalar,123,0.329787664615905
median,operational,err_abs_scalar,206,0.4942342979677196
median,operational,err_abs_scalar,325,0.42196635958124623
median,operational,err_abs_scalar,408,0.43319320245379495
median,operational,err_abs_scalar,569,0.4159031911729503
median,operational,err_abs_scalar,701,0.511232391756901
median,operational,err_abs_scalar,789,0.5091949658505518
median,operational,err_abs_scalar,887,0.36785192276816386
median,operational,err_abs_full,123,0.3005613887852161
median,operational,err_abs_full,206,0.4740759772497254
median,operational,err_abs_full,325,0.36322299976967515
median,operational,err_abs_full,408,0.39570693063840484
median,operational,err_abs_full,569,0.39794062025660226
median,operational,err_abs_full,701,0.4406549426859429
median,operational,err_abs_full,789,0.4787223073946594
median,operational,err_abs_full,887,0.31837574076722336
median,operational,err_sq_noJ,123,8.837217792539724
median,operational,err_sq_noJ,206,9.199450802336578
median,operational,err_sq_noJ,325,8.781043827201305
median,operational,err_sq_noJ,408,8.927045895181985
median,operational,err_sq_noJ,569,9.534223114267148
median,operational,err_sq_noJ,701,9.631075982403821
median,operational,err_sq_noJ,789,9.437315046319668
median,operational,err_sq_noJ,887,9.837356679723536
median,operational,err_sq_scalar,123,0.5026320620439847
median,operational,err_sq_scalar,206,1.0922084306933204
median,operational,err_sq_scalar,325,0.8292561930183165
median,operational,err_sq_scalar,408,0.8706385923444717
median,operational,err_sq_scalar,569,0.8048795301191696
median,operational,err_sq_scalar,701,1.1466318795217358
median,operational,err_sq_scalar,789,1.2202000830067217
median,operational,err_sq_scalar,887,0.6372937174290481
median,operational,err_sq_full,123,0.5060587602329408
median,operational,err_sq_full,206,1.235511238376662
median,operational,err_sq_full,325,0.7443338259186186
median,operational,err_sq_full,408,0.8723207364272142
median,operational,err_sq_full,569,0.9169807727466684
median,operational,err_sq_full,701,1.0744574534400775
median,operational,err_sq_full,789,1.3182837080750103
median,operational,err_sq_full,887,0.5803453349853384
median,operational,err_rel_noJ,123,0.313989676227223
median,operational,err_rel_noJ,206,0.30919090427065105
median,operational,err_rel_noJ,325,0.3057290236213533
median,operational,err_rel_noJ,408,0.3184021160945441
median,operational,err_rel_noJ,569,0.32013365992563364
median,operational,err_rel_noJ,701,0.3134400485436143
median,operational,err_rel_noJ,789,0.3152045339981058
median,operational,err_rel_noJ,887,0.3080421779983969
median,operational,err_rel_scalar,123,0.05785903865188269
median,operational,err_rel_scalar,206,0.09406540839225293
median,operational,err_rel_scalar,325,0.07539154365538134
median,operational,err_rel_scalar,408,0.08174824361860794
median,operational,err_rel_scalar,569,0.07706724849509923
median,operational,err_rel_scalar,701,0.08747397706076725
median,operational,err_rel_scalar,789,0.08615477728811062
median,operational,err_rel_scalar,887,0.06797112288618483
median,operational,err_rel_full,123,0.019659927033456186
median,operational,err_rel_full,206,0.0328906058975118
median,operational,err_rel_full,325,0.02266581673501042
median,operational,err_rel_full,408,0.02810048347949441
median,operational,err_rel_full,569,0.025802085361511875
median,operational,err_rel_full,701,0.028122870080477803
median,operational,err_rel_full,789,0.02905750626530826
median,operational,err_rel_full,887,0.019901993751123847
median,operational,abs_full_minus_scalar,123,-0.02588692987683538
median,operational,abs_full_minus_scalar,206,-0.04358644862285336
median,operational,abs_full_minus_scalar,325,-0.036571029166191024
median,operational,abs_full_minus_scalar,408,-0.061957813019963746
median,operational,abs_full_minus_scalar,569,-0.048244648545195314
median,operational,abs_full_minus_scalar,701,-0.05987680871963557
median,operational,abs_full_minus_scalar,789,-0.03118634725749751
median,operational,abs_full_minus_scalar,887,-0.06389199997311466
median,operational,abs_full_minus_noJ,123,-1.4656141965565095
median,operational,abs_full_minus_noJ,206,-1.3388118664348587
median,operational,abs_full_minus_noJ,325,-1.4217693545192134
median,operational,abs_full_minus_noJ,408,-1.4034062292486247
median,operational,abs_full_minus_noJ,569,-1.4606218889100262
median,operational,abs_full_minus_noJ,701,-1.429948271619797
median,operational,abs_full_minus_noJ,789,-1.3826000229700206
median,operational,abs_full_minus_noJ,887,-1.5396026588368201
median,operational,abs_scalar_minus_noJ,123,-1.4367926573706937
median,operational,abs_scalar_minus_noJ,206,-1.3214709442873103
median,operational,abs_scalar_minus_noJ,325,-1.355590937314486
median,operational,abs_scalar_minus_noJ,408,-1.3584192216544866
median,operational,abs_scalar_minus_noJ,569,-1.4164615930953104
median,operational,abs_scalar_minus_noJ,701,-1.3612633559652847
median,operational,abs_scalar_minus_noJ,789,-1.3133995968274081
median,operational,abs_scalar_minus_noJ,887,-1.4883997131560733
median,scheduler64,err_abs_noJ,123,1.7675198806100223
median,scheduler64,err_abs_noJ,206,1.814150832769398
median,scheduler64,err_abs_noJ,325,1.7715748525428598
median,scheduler64,err_abs_noJ,408,1.7920500753131368
median,scheduler64,err_abs_noJ,569,1.8341385390404785
median,scheduler64,err_abs_noJ,701,1.867842560440567
median,scheduler64,err_abs_noJ,789,1.8489633222291164
median,scheduler64,err_abs_noJ,887,1.85925366478458
median,scheduler64,err_abs_scalar,123,0.32978765597127646
median,scheduler64,err_abs_scalar,206,0.49423426598354636
median,scheduler64,err_abs_scalar,325,0.4219663239836842
median,scheduler64,err_abs_scalar,408,0.4331931526439967
median,scheduler64,err_abs_scalar,569,0.4159031562399423
median,scheduler64,err_abs_scalar,701,0.5112323395000301
median,scheduler64,err_abs_scalar,789,0.5091949749804728
median,scheduler64,err_abs_scalar,887,0.36785191157933134
median,scheduler64,err_abs_full,123,0.3005614175736881
median,scheduler64,err_abs_full,206,0.4740759739106612
median,scheduler64,err_abs_full,325,0.3632230459432344
median,scheduler64,err_abs_full,408,0.39570695145827267
median,scheduler64,err_abs_full,569,0.3979406042941551
median,scheduler64,err_abs_full,701,0.4406548748533081
median,scheduler64,err_abs_full,789,0.4787222672455513
median,scheduler64,err_abs_full,887,0.31837574992096634
median,scheduler64,err_sq_noJ,123,8.837219082115046
median,scheduler64,err_sq_noJ,206,9.199451945116602
median,scheduler64,err_sq_noJ,325,8.781045206135014
median,scheduler64,err_sq_noJ,408,8.927047074197946
median,scheduler64,err_sq_noJ,569,9.534224417082951
median,scheduler64,err_sq_noJ,701,9.63107707763085
median,scheduler64,err_sq_noJ,789,9.437315779574371
median,scheduler64,err_sq_noJ,887,9.83735798834892
median,scheduler64,err_sq_scalar,123,0.5026319299465664
median,scheduler64,err_sq_scalar,206,1.0922081695599484
median,scheduler64,err_sq_scalar,325,0.8292560225587623
median,scheduler64,err_sq_scalar,408,0.8706382829898235
median,scheduler64,err_sq_scalar,569,0.8048792762505342
median,scheduler64,err_sq_scalar,701,1.1466314249172973
median,scheduler64,err_sq_scalar,789,1.2201997675919611
median,scheduler64,err_sq_scalar,887,0.6372935117550237
median,scheduler64,err_sq_full,123,0.5060585502618983
median,scheduler64,err_sq_full,206,1.235511006191214
median,scheduler64,err_sq_full,325,0.7443336213938183
median,scheduler64,err_sq_full,408,0.8723204685173215
median,scheduler64,err_sq_full,569,0.9169805050102257
median,scheduler64,err_sq_full,701,1.074457233197793
median,scheduler64,err_sq_full,789,1.3182834388793714
median,scheduler64,err_sq_full,887,0.5803452258841489
median,scheduler64,err_rel_noJ,123,0.31398963505538796
median,scheduler64,err_rel_noJ,206,0.3091909672426825
median,scheduler64,err_rel_noJ,325,0.3057291257022911
median,scheduler64,err_rel_noJ,408,0.318401993864528
median,scheduler64,err_rel_noJ,569,0.3201337126896384
median,scheduler64,err_rel_noJ,701,0.3134401021279663
median,scheduler64,err_rel_noJ,789,0.3152045181965089
median,scheduler64,err_rel_noJ,887,0.3080423779849805
median,scheduler64,err_rel_scalar,123,0.05785902724976808
median,scheduler64,err_rel_scalar,206,0.09406546840395547
median,scheduler64,err_rel_scalar,325,0.07539147653241902
median,scheduler64,err_rel_scalar,408,0.08174816493628884
median,scheduler64,err_rel_scalar,569,0.07706732090585033
median,scheduler64,err_rel_scalar,701,0.0874740118861862
median,scheduler64,err_rel_scalar,789,0.08615483220947485
median,scheduler64,err_rel_scalar,887,0.06797109267098667
median,scheduler64,err_rel_full,123,0.019659838763009144
median,scheduler64,err_rel_full,206,0.032890469342602834
median,scheduler64,err_rel_full,325,0.022666004592685692
median,scheduler64,err_rel_full,408,0.028100427399390216
median,scheduler64,err_rel_full,569,0.025802063597914492
median,scheduler64,err_rel_full,701,0.028122730815137914
median,scheduler64,err_rel_full,789,0.02905743419376636
median,scheduler64,err_rel_full,887,0.01990183012536649
