class_id,seed,group,event_stage,probe_stage,family,alpha,relative_derivative_drift,direction_cosine,odd_curvature,component_robust_error,richardson_diagnostic_disagreement,legacy_L_pass,C_pass,D_source_ratio_within_reference,application_certified,R_pass,N_pass
123,107,mlp_down_all_blocks,4,5,donor,0.015625,0.0,0.9999999999999999,8.750689634118302e-05,0.0,0.0001451350133199223,True,True,True,False,True,True
123,107,mlp_down_all_blocks,4,5,donor,0.03125,5.5453230281100665e-05,0.9999999984627999,7.637229024225192e-05,3.5023456983373594e-05,0.0001451350133199223,True,True,True,False,True,True
123,107,mlp_down_all_blocks,4,5,isotropic,0.0078125,0.00010036862787543162,0.999999994963257,0.00015124185575929376,6.226205660301096e-05,0.0001402041192832956,True,True,True,False,True,True
123,107,mlp_down_all_blocks,4,5,isotropic,0.015625,0.0,1.0,8.607353378547314e-05,0.0,0.0001402041192832956,True,True,True,False,True,True
123,107,mlp_down_all_blocks,4,5,isotropic,0.03125,5.427364705198507e-05,0.999999998527199,6.930729669351172e-05,3.113102830150548e-05,0.0001402041192832956,True,True,True,False,True,True
123,107,mlp_down_all_blocks,10,11,actual_local,0.0078125,0.0022342218270775998,0.9999975160075952,0.010455755607682155,0.000305953336619688,0.0003833277889575647,True,True,True,False,True,True
123,107,mlp_down_all_blocks,10,11,actual_local,0.015625,0.0,1.0,0.020746234037150042,0.0,0.0003833277889575647,True,True,True,False,True,True
123,107,mlp_down_all_blocks,10,11,actual_local,0.03125,0.008355058466256397,0.9999652291854689,0.04038230877198909,0.0009009668808432529,0.0003833277889575647,True,True,True,False,True,True
123,107,mlp_down_all_blocks,10,11,accumulated,0.0078125,0.0034597637424880166,0.9999940566448118,0.012319672313933057,0.00046100910384010553,0.0006216565386338082,True,True,True,False,True,True
123,107,mlp_down_all_blocks,10,11,accumulated,0.015625,0.0,1.0,0.024357377287708155,0.0,0.0006216565386338082,True,True,True,False,True,True
123,107,mlp_down_all_blocks,10,11,accumulated,0.03125,0.012281546666277277,0.9999250048344369,0.046797277588766194,0.0016072453756607317,0.0006216565386338082,True,True,True,False,True,True
123,107,mlp_down_all_blocks,10,11,donor,0.0078125,0.00019255269412218206,0.9999999814625816,0.00038061046425790483,0.0001199084343349133,0.0002692943939573027,True,True,True,False,True,True
123,107,mlp_down_all_blocks,10,11,donor,0.015625,0.0,1.0,0.0005209407807854438,0.0,0.0002692943939573027,True,True,True,False,True,True
123,107,mlp_down_all_blocks,10,11,donor,0.03125,0.00010267754269578674,0.9999999947289832,0.0010061408829185289,6.348093582436586e-05,0.0002692943939573027,True,True,True,False,True,True
123,107,mlp_down_all_blocks,10,11,isotropic,0.0078125,0.00019030066087606656,0.9999999818951094,0.0004100299102978804,0.00011269757660316462,0.0002680449601934292,True,True,True,False,True,True
123,107,mlp_down_all_blocks,10,11,isotropic,0.015625,0.0,1.0,0.0006469805696944863,0.0,0.0002680449601934292,True,True,True,False,True,True
123,107,mlp_down_all_blocks,10,11,isotropic,0.03125,0.00010603686160245251,0.9999999943819007,0.0012578521780796982,6.33923868392801e-05,0.0002680449601934292,True,True,True,False,True,True
123,107,mlp_down_all_blocks,15,16,actual_local,0.0078125,0.00041531911559162995,0.9999999139690049,0.003538261776549208,0.0002543912933808154,0.0005863310695845579,True,True,True,False,True,True
123,107,mlp_down_all_blocks,15,16,actual_local,0.015625,0.0,1.0,0.006941614865078666,0.0,0.0005863310695845579,True,True,True,False,True,True
123,107,mlp_down_all_blocks,15,16,actual_local,0.03125,0.0003228069304476087,0.9999999523254158,0.013865016742516178,0.00017611704926364142,0.0005863310695845579,True,True,True,False,True,True
123,107,mlp_down_all_blocks,15,16,accumulated,0.0078125,0.0008417732301287685,0.9999996946477963,0.01681291379613829,0.0004136178793779882,0.00016896227264975934,True,True,True,False,True,True
123,107,mlp_down_all_blocks,15,16,accumulated,0.015625,0.0,1.0,0.03355841267461675,0.0,0.00016896227264975934,True,True,True,False,True,True
123,107,mlp_down_all_blocks,15,16,accumulated,0.03125,0.0033176852681163576,0.9999953016944639,0.06675542510896233,0.0016243963612499912,0.00016896227264975934,True,True,True,False,True,True
123,107,mlp_down_all_blocks,15,16,donor,0.0078125,0.0003830015621103843,0.999999926661157,0.0012543385198725448,0.00023967965512988905,0.0005345866448771298,True,True,True,False,True,True
123,107,mlp_down_all_blocks,15,16,donor,0.015625,0.0,1.0,0.002288772367853381,0.0,0.0005345866448771298,True,True,True,False,True,True
123,107,mlp_down_all_blocks,15,16,donor,0.03125,0.00020256497580515765,0.9999999794845221,0.004557674330592617,0.00011983982756494453,0.0005345866448771298,True,True,True,False,True,True
123,107,mlp_down_all_blocks,15,16,isotropic,0.0078125,0.00039256054801372324,0.9999999229893295,0.000970293543337791,0.00025197672571810047,0.0005543518050614942,True,True,True,False,True,True
123,107,mlp_down_all_blocks,15,16,isotropic,0.015625,0.0,1.0,0.0016166403716610948,0.0,0.0005543518050614942,True,True,True,False,True,True
123,107,mlp_down_all_blocks,15,16,isotropic,0.03125,0.0002091009544685094,0.9999999781701052,0.0031741162888707097,0.0001350305898585036,0.0005543518050614942,True,True,True,False,True,True
123,108,qkv_all_blocks,4,5,actual_local,0.0078125,0.0010915840906297971,0.9999994043376358,0.001665730995012881,0.0006216804121878812,0.0015343075044441687,True,True,True,False,True,True
123,108,qkv_all_blocks,4,5,actual_local,0.015625,0.0,0.9999999999999999,0.0009091795611719562,0.0,0.0015343075044441687,True,True,True,False,True,True
123,108,qkv_all_blocks,4,5,actual_local,0.03125,0.0006053966377232114,0.9999998167489905,0.00047412989810240787,0.00036264690710959734,0.0015343075044441687,True,True,True,False,True,True
123,108,qkv_all_blocks,4,5,accumulated,0.0078125,0.0010915840906297971,0.9999994043376358,0.001665730995012881,0.0006216804121878812,0.0015343075044441687,True,True,True,False,True,True
123,108,qkv_all_blocks,4,5,accumulated,0.015625,0.0,0.9999999999999999,0.0009091795611719562,0.0,0.0015343075044441687,True,True,True,False,True,True
123,108,qkv_all_blocks,4,5,accumulated,0.03125,0.0006053966377232114,0.9999998167489905,0.00047412989810240787,0.00036264690710959734,0.0015343075044441687,True,True,True,False,True,True
123,108,qkv_all_blocks,4,5,donor,0.0078125,0.0011065112186151582,0.9999993885035652,0.0016646383943210994,0.0006606540961654761,0.0015443447677693858,True,True,True,False,True,True
123,108,qkv_all_blocks,4,5,donor,0.015625,0.0,1.0,0.0008933481288657824,0.0,0.0015443447677693858,True,True,True,False,True,True
123,108,qkv_all_blocks,4,5,donor,0.03125,0.0005932604627358255,0.9999998240324053,0.0004718276734085048,0.000362712052796732,0.0015443447677693858,True,True,True,False,True,True
123,108,qkv_all_blocks,4,5,isotropic,0.0078125,0.0010822766619476287,0.9999994145497062,0.0016380761022783954,0.000622185812767369,0.0015162948396742798,True,True,True,False,True,True
123,108,qkv_all_blocks,4,5,isotropic,0.015625,0.0,1.0,0.0008889444599584136,0.0,0.0015162948396742798,True,True,True,False,True,True
123,108,qkv_all_blocks,4,5,isotropic,0.03125,0.0005865671096816974,0.9999998280121651,0.0004710015602639407,0.00036294172411429856,0.0015162948396742798,True,True,True,False,True,True
123,108,qkv_all_blocks,10,11,actual_local,0.0078125,0.0019510681263787042,0.9999980981465084,0.003019555243925564,0.0011735371359094674,0.002747253604152215,True,True,True,False,True,True
123,108,qkv_all_blocks,10,11,actual_local,0.015625,0.0,1.0,0.0015772112465644913,0.0,0.002747253604152215,True,True,True,False,True,True
