family,class_id,metric,value,expected_specs,defined_specs
donor,569,err_full,7.111695205357913e-06,9,9
donor,569,normalized_error_noJ,0.31900092874863084,9,9
donor,569,normalized_error_scalar,0.10980507373087454,9,9
donor,569,normalized_error_full,0.0018016792910388116,9,9
donor,569,relative_improvement_full_vs_noJ,0.994113483444806,9,9
donor,701,R_J,0.35234925902132286,9,9
donor,701,err_noJ,0.009905800870894075,9,9
donor,701,err_scalar,0.0020121768983125104,9,9
donor,701,err_full,7.322893809079592e-06,9,9
donor,701,normalized_error_noJ,0.3523450161943089,9,9
donor,701,normalized_error_scalar,0.1390668474645647,9,9
donor,701,normalized_error_full,0.0018102585780301991,9,9
donor,701,relative_improvement_full_vs_noJ,0.9946698367606879,9,9
donor,789,R_J,0.3604866729083363,9,9
donor,789,err_noJ,0.010009712372770726,9,9
donor,789,err_scalar,0.0021178216986116258,9,9
donor,789,err_full,7.37447134234132e-06,9,9
donor,789,normalized_error_noJ,0.36048005334610944,9,9
donor,789,normalized_error_scalar,0.14419091311065962,9,9
donor,789,normalized_error_full,0.0017057452536725975,9,9
donor,789,relative_improvement_full_vs_noJ,0.9951594300515654,9,9
donor,887,R_J,0.32587124534925255,9,9
donor,887,err_noJ,0.00969995752179092,9,9
donor,887,err_scalar,0.0016055831257286036,9,9
donor,887,err_full,6.520909521687517e-06,9,9
donor,887,normalized_error_noJ,0.3258692779847483,9,9
donor,887,normalized_error_scalar,0.11373184861609678,9,9
donor,887,normalized_error_full,0.0018823711148687394,9,9
donor,887,relative_improvement_full_vs_noJ,0.9938119713118527,9,9
isotropic,123,R_J,0.318346843496813,9,9
isotropic,123,err_noJ,0.00907433841347931,9,9
isotropic,123,err_scalar,0.0013840016095781646,9,9
isotropic,123,err_full,6.247156504527918e-06,9,9
isotropic,123,normalized_error_noJ,0.3183502628216717,9,9
isotropic,123,normalized_error_scalar,0.09745561599065065,9,9
isotropic,123,normalized_error_full,0.0017270024330522818,9,9
isotropic,123,relative_improvement_full_vs_noJ,0.9945324078504671,9,9
isotropic,206,R_J,0.3228362100408914,9,9
isotropic,206,err_noJ,0.00936985673358873,9,9
isotropic,206,err_scalar,0.0016030341806710657,9,9
isotropic,206,err_full,6.963081113920315e-06,9,9
isotropic,206,normalized_error_noJ,0.32284385018859907,9,9
isotropic,206,normalized_error_scalar,0.10516316865220968,9,9
isotropic,206,normalized_error_full,0.0017136805034022142,9,9
isotropic,206,relative_improvement_full_vs_noJ,0.9946280174959595,9,9
isotropic,325,R_J,0.32516702678358805,9,9
isotropic,325,err_noJ,0.009227633084572499,9,9
isotropic,325,err_scalar,0.001565217870364931,9,9
isotropic,325,err_full,6.628732097406688e-06,9,9
isotropic,325,normalized_error_noJ,0.3251684162674938,9,9
isotropic,325,normalized_error_scalar,0.10472845936902836,9,9
isotropic,325,normalized_error_full,0.0017460373892733516,9,9
isotropic,325,relative_improvement_full_vs_noJ,0.9945828843020155,9,9
isotropic,408,R_J,0.32664118906046635,9,9
isotropic,408,err_noJ,0.009308296627085296,9,9
isotropic,408,err_scalar,0.0015909311782720354,9,9
isotropic,408,err_full,6.819323389076796e-06,9,9
isotropic,408,normalized_error_noJ,0.3266633352553819,9,9
isotropic,408,normalized_error_scalar,0.1077229975749438,9,9
isotropic,408,normalized_error_full,0.0017311732430909655,9,9
isotropic,408,relative_improvement_full_vs_noJ,0.994661003250632,9,9
isotropic,569,R_J,0.323893756213165,9,9
isotropic,569,err_noJ,0.00957626804399924,9,9
isotropic,569,err_scalar,0.0016564763656624069,9,9
isotropic,569,err_full,7.24483008414707e-06,9,9
isotropic,569,normalized_error_noJ,0.32389506268428797,9,9
isotropic,569,normalized_error_scalar,0.10523971128049697,9,9
isotropic,569,normalized_error_full,0.0017453071920212546,9,9
isotropic,569,relative_improvement_full_vs_noJ,0.9945536786268941,9,9
isotropic,701,R_J,0.3610658600319367,9,9
isotropic,701,err_noJ,0.00988755313080488,9,9
isotropic,701,err_scalar,0.0019846946249218542,9,9
isotropic,701,err_full,7.070113222808222e-06,9,9
isotropic,701,normalized_error_noJ,0.361073003777784,9,9
isotropic,701,normalized_error_scalar,0.136445551375605,9,9
isotropic,701,normalized_error_full,0.0017336657300068767,9,9
isotropic,701,relative_improvement_full_vs_noJ,0.9950903350971703,9,9
